Ch00_2_2025-07-14-0011 Jack 
     time      power
      0.35       0.37
      0.85       0.37
      1.35       0.37
      1.85       0.37
      2.35       0.37
      2.85       0.37
      3.35       0.37
      3.85       0.37
      4.35       0.37
      4.85       0.37
      5.35       0.37
      5.85       0.37
      6.35       0.37
      6.85       0.37
      7.35       0.37
      7.85       0.37
      8.35       0.37
      8.85       0.37
      9.35       0.37
      9.85       0.37
     10.35       0.37
     10.85       0.37
     11.35       0.37
     11.85       0.37
     12.35       0.37
     12.85       0.37
     13.35       0.37
     13.85       0.37
     14.35       0.37
     14.85       0.37
     15.35       0.37
     15.85       0.37
     16.35       0.37
     16.85       0.37
     17.35       0.37
     17.85       0.37
     18.35       0.37
     18.85       0.36
     19.35       0.36
     19.85       0.36
     20.35       0.36
     20.85       0.36
     21.35       0.36
     21.85       0.36
     22.35       0.36
     22.85       0.36
     23.35       0.36
